"recherche_id";"fetch_id";"test_NCT";"date_check_nct";"lot"
"35087875";TRUE;TRUE;"2022-02-04 22:55:05";"LOT_20220204225447"
"35087696";TRUE;TRUE;"2022-02-04 22:55:05";"LOT_20220204225447"
"35087624";TRUE;TRUE;"2022-02-04 22:55:05";"LOT_20220204225447"
"35087595";TRUE;TRUE;"2022-02-04 22:55:05";"LOT_20220204225447"
"35087332";TRUE;TRUE;"2022-02-04 22:55:05";"LOT_20220204225447"
"35087117";TRUE;TRUE;"2022-02-04 22:55:05";"LOT_20220204225447"
"35087097";TRUE;TRUE;"2022-02-04 22:55:05";"LOT_20220204225447"
"35086949";TRUE;TRUE;"2022-02-04 22:55:06";"LOT_20220204225447"
"35086946";TRUE;TRUE;"2022-02-04 22:55:06";"LOT_20220204225447"
"35086919";TRUE;TRUE;"2022-02-04 22:55:06";"LOT_20220204225447"
"35086918";TRUE;TRUE;"2022-02-04 22:55:06";"LOT_20220204225447"
"35086897";TRUE;TRUE;"2022-02-04 22:55:06";"LOT_20220204225447"
"35086778";TRUE;TRUE;"2022-02-04 22:55:06";"LOT_20220204225447"
"35086735";TRUE;TRUE;"2022-02-04 22:55:06";"LOT_20220204225447"
"35086692";TRUE;TRUE;"2022-02-04 22:55:06";"LOT_20220204225447"
"35086561";TRUE;TRUE;"2022-02-04 22:55:06";"LOT_20220204225447"
"35086508";TRUE;TRUE;"2022-02-04 22:55:06";"LOT_20220204225447"
"35086504";TRUE;TRUE;"2022-02-04 22:55:06";"LOT_20220204225447"
"35086483";TRUE;TRUE;"2022-02-04 22:55:06";"LOT_20220204225447"
"35086481";TRUE;TRUE;"2022-02-04 22:55:07";"LOT_20220204225447"
"35086362";TRUE;TRUE;"2022-02-04 22:55:07";"LOT_20220204225447"
"35086348";TRUE;TRUE;"2022-02-04 22:55:07";"LOT_20220204225447"
"35086141";TRUE;TRUE;"2022-02-04 22:55:07";"LOT_20220204225447"
"35086102";TRUE;TRUE;"2022-02-04 22:55:07";"LOT_20220204225447"
"35085837";TRUE;TRUE;"2022-02-04 22:55:07";"LOT_20220204225447"
"35085510";TRUE;TRUE;"2022-02-04 22:55:07";"LOT_20220204225447"
"35085506";TRUE;TRUE;"2022-02-04 22:55:07";"LOT_20220204225447"
"35085503";TRUE;TRUE;"2022-02-04 22:55:07";"LOT_20220204225447"
"35085502";TRUE;TRUE;"2022-02-04 22:55:08";"LOT_20220204225447"
"35085482";TRUE;TRUE;"2022-02-04 22:55:08";"LOT_20220204225447"
"35085462";TRUE;TRUE;"2022-02-04 22:55:08";"LOT_20220204225447"
"35085455";TRUE;TRUE;"2022-02-04 22:55:08";"LOT_20220204225447"
"35085017";TRUE;TRUE;"2022-02-04 22:55:08";"LOT_20220204225447"
"35084903";TRUE;TRUE;"2022-02-04 22:55:08";"LOT_20220204225447"
"35084882";TRUE;TRUE;"2022-02-04 22:55:08";"LOT_20220204225447"
"35084880";TRUE;TRUE;"2022-02-04 22:55:08";"LOT_20220204225447"
"35084649";TRUE;TRUE;"2022-02-04 22:55:08";"LOT_20220204225447"
"35084584";TRUE;TRUE;"2022-02-04 22:55:08";"LOT_20220204225447"
"35084544";TRUE;TRUE;"2022-02-04 22:55:09";"LOT_20220204225447"
"35084526";TRUE;TRUE;"2022-02-04 22:55:09";"LOT_20220204225447"
"35084480";TRUE;TRUE;"2022-02-04 22:55:09";"LOT_20220204225447"
"35084435";TRUE;TRUE;"2022-02-04 22:55:09";"LOT_20220204225447"
"35084369";TRUE;TRUE;"2022-02-04 22:55:09";"LOT_20220204225447"
"35084276";TRUE;TRUE;"2022-02-04 22:55:09";"LOT_20220204225447"
"35084153";TRUE;TRUE;"2022-02-04 22:55:09";"LOT_20220204225447"
"35083729";TRUE;TRUE;"2022-02-04 22:55:09";"LOT_20220204225447"
"35083557";TRUE;TRUE;"2022-02-04 22:55:09";"LOT_20220204225447"
"35083365";TRUE;TRUE;"2022-02-04 22:55:09";"LOT_20220204225447"
"35083238";TRUE;TRUE;"2022-02-04 22:55:09";"LOT_20220204225447"
"35083234";TRUE;TRUE;"2022-02-04 22:55:09";"LOT_20220204225447"
"35082514";TRUE;TRUE;"2022-02-04 22:55:10";"LOT_20220204225447"
"35082139";TRUE;TRUE;"2022-02-04 22:55:10";"LOT_20220204225447"
"35081912";TRUE;TRUE;"2022-02-04 22:55:10";"LOT_20220204225447"
"35081747";TRUE;TRUE;"2022-02-04 22:55:10";"LOT_20220204225447"
"35081732";TRUE;TRUE;"2022-02-04 22:55:10";"LOT_20220204225447"
"35081293";TRUE;TRUE;"2022-02-04 22:55:10";"LOT_20220204225447"
"35081280";TRUE;TRUE;"2022-02-04 22:55:10";"LOT_20220204225447"
"35081237";TRUE;TRUE;"2022-02-04 22:55:10";"LOT_20220204225447"
"35081106";TRUE;TRUE;"2022-02-04 22:55:11";"LOT_20220204225447"
"35080773";TRUE;TRUE;"2022-02-04 22:55:11";"LOT_20220204225447"
"35080771";TRUE;TRUE;"2022-02-04 22:55:11";"LOT_20220204225447"
"35080505";TRUE;TRUE;"2022-02-04 22:55:11";"LOT_20220204225447"
"35080502";TRUE;TRUE;"2022-02-04 22:55:11";"LOT_20220204225447"
"35080500";TRUE;TRUE;"2022-02-04 22:55:11";"LOT_20220204225447"
"35080499";TRUE;TRUE;"2022-02-04 22:55:11";"LOT_20220204225447"
"35080497";TRUE;TRUE;"2022-02-04 22:55:11";"LOT_20220204225447"
"35080267";TRUE;TRUE;"2022-02-04 22:55:11";"LOT_20220204225447"
"35080190";TRUE;TRUE;"2022-02-04 22:55:12";"LOT_20220204225447"
"35079044";TRUE;TRUE;"2022-02-04 22:55:12";"LOT_20220204225447"
"35078975";TRUE;TRUE;"2022-02-04 22:55:12";"LOT_20220204225447"
"35078923";TRUE;TRUE;"2022-02-04 22:55:12";"LOT_20220204225447"
"35078840";TRUE;TRUE;"2022-02-04 22:55:12";"LOT_20220204225447"
"35078538";TRUE;TRUE;"2022-02-04 22:55:12";"LOT_20220204225447"
"35078536";TRUE;TRUE;"2022-02-04 22:55:12";"LOT_20220204225447"
"35078522";TRUE;TRUE;"2022-02-04 22:55:12";"LOT_20220204225447"
"35078446";TRUE;TRUE;"2022-02-04 22:55:12";"LOT_20220204225447"
"35078407";TRUE;TRUE;"2022-02-04 22:55:12";"LOT_20220204225447"
"35078125";TRUE;TRUE;"2022-02-04 22:55:12";"LOT_20220204225447"
"35077474";TRUE;TRUE;"2022-02-04 22:55:13";"LOT_20220204225447"
"35077429";TRUE;TRUE;"2022-02-04 22:55:13";"LOT_20220204225447"
"35076812";TRUE;TRUE;"2022-02-04 22:55:13";"LOT_20220204225447"
"35076329";TRUE;TRUE;"2022-02-04 22:55:13";"LOT_20220204225447"
"35074903";TRUE;TRUE;"2022-02-04 22:55:13";"LOT_20220204225447"
"35074810";TRUE;TRUE;"2022-02-04 22:55:13";"LOT_20220204225447"
"35074651";TRUE;TRUE;"2022-02-04 22:55:13";"LOT_20220204225447"
"35074020";TRUE;TRUE;"2022-02-04 22:55:13";"LOT_20220204225447"
"35074000";TRUE;TRUE;"2022-02-04 22:55:13";"LOT_20220204225447"
"35073986";TRUE;TRUE;"2022-02-04 22:55:13";"LOT_20220204225447"
